Month,Sandwiches,Beef Plates,Chicken Plates,Pork Plates,Combo Plates,Half/Whole slab,Burgers,Asian Plates,Grilled Salads,Appetizers,Tacos & Burritos,Alcohol
January,"$7,163.65","$4,291.15","$3,441.20","$2,157.40","$5,417.45","$2,323.80","$2,321.65","$3,420.20","$1,018.15","$1,805.75","$1,019.45",$370.70
February,"$6,784.10","$4,537.95","$3,071.10","$2,612.20","$5,575.25","$1,963.90","$1,683.45","$2,843.35","$1,046.05","$1,586.85",$964.30,$277.70
March,"$8,377.20","$5,222.75","$3,315.45","$3,016.15","$6,969.90","$2,402.15","$2,606.75","$2,978.65","$1,135.20","$2,133.25","$1,124.60",$271.45
April,"$7,825.15","$4,643.40","$3,320.00","$2,264.25","$6,317.35","$2,802.80","$2,042.35","$3,323.90","$1,511.65","$1,853.80","$1,221.70",$311.25
May,"$9,969.35","$5,892.40","$3,777.70","$3,052.35","$7,340.90","$3,045.05","$2,357.75","$3,737.15","$1,251.25","$1,792.55","$1,242.50",$527.00
June,"$9,737.50","$5,500.25","$3,474.20","$2,059.10","$7,009.90","$3,029.90","$2,469.00","$3,715.70","$1,042.95","$1,640.00","$1,054.55",$494.60
July,"$8,931.75","$5,261.60","$3,396.25","$2,164.40","$7,122.55","$3,244.05","$2,326.50","$3,459.55","$1,005.15","$1,548.20","$1,072.85",$388.80
August,"$10,316.00","$5,275.55","$3,773.70","$2,419.90","$7,209.00","$3,267.35","$3,018.85","$3,696.05","$1,437.60","$1,705.95","$1,281.55",$344.45
September,"$8,967.25","$5,764.30","$3,223.40","$2,167.25","$6,590.35","$2,088.20","$2,385.90","$3,427.65","$1,238.35","$1,499.40","$1,022.10",$230.40
October,"$8,612.90","$5,889.40","$3,699.85","$2,376.50","$7,509.95","$3,042.05","$2,739.55","$3,316.05","$1,296.20","$1,605.25",$870.35,$342.00
November,"$7,542.20","$4,389.85","$2,806.25","$2,093.40","$5,510.15","$2,683.40","$2,003.65","$2,847.25","$1,092.00","$1,296.55","$1,113.35",$289.40
December,"$7,631.65","$4,372.80","$3,144.15","$1,902.95","$6,790.10","$3,060.75","$1,896.20","$2,577.20",$868.30,"$1,575.25","$1,123.60",$330.30
