Date,Accounting,Advertising and Promotion,Alarm & Security,Automobile Expense,Food Purchases,Gas and Electric,Insurance,Internet Expense,Licenses and Permits,Merchant Fees,Office Expense,Payroll Expenses,Pest Control,Postage and Delivery,Rent Expense,Repairs and Maintenance,State Franchise Tax,Supplies,Towel cleaning service,Utilities,Waste Management
January,450,124.3,0,9.99,12106.73,1830.44,2547.75,424.5,0.0,27.19,0.0,5048.75,120,0.0,5649,780.0,0,246.65,254.04,394.55,90
February,755,695.04,0,9.99,9032.4,1874.57,220.75,0.0,550.0,756.19,0.0,5569.68,120,0.0,5649,3631.99,0,0.0,179.49,39.95,0
March,2100,298.41,0,9.99,9548.7,2140.37,220.75,259.78,0.0,0.0,0.0,5631.09,125,0.0,5649,448.45,0,0.0,179.49,39.95,0
April,450,20.4,300,9.99,12223.67,2057.74,220.75,387.0,0.0,0.0,282.85,5807.65,125,0.0,5649,2869.43,800,0.0,189.23,39.95,0
May,1175,101.26,0,9.99,6410.78,1838.42,220.75,143.89,0.0,0.0,342.97,5800.2,125,0.0,5649,430.0,0,219.19,221.95,39.95,0
June,450,210.77,0,108.99,4690.99,2026.68,220.75,148.9,0.0,0.0,50.0,5800.2,125,7.58,5649,680.0,0,0.0,216.29,39.95,0
July,450,0.0,0,9.99,4566.89,2788.96,309.05,148.78,0.0,0.0,565.14,5800.2,125,24.59,5649,1392.08,0,0.0,216.29,39.95,0
August,450,0.0,0,9.99,7442.81,2571.55,264.92,148.78,15.0,0.0,443.91,5800.2,125,44.54,5649,405.0,0,0.0,314.89,39.95,0
September,450,113.69,0,9.99,11726.45,2725.04,1404.25,148.78,1339.2,0.0,450.0,5800.2,125,0.0,5649,430.0,0,0.0,216.29,39.95,0
October,450,198.42,0,9.99,11875.1,2426.21,309.09,149.35,0.0,0.0,112.14,5800.2,125,17.89,5649,430.0,0,0.0,216.29,39.95,0
November,450,0.0,0,9.99,5359.38,1981.28,220.75,149.35,15.0,0.0,400.0,5800.2,125,0.0,5649,430.0,0,0.0,255.52,39.95,0
December,450,0.0,0,9.99,0.0,1863.89,1692.44,144.85,1060.0,0.0,356.96,15800.2,125,0.0,5649,780.0,0,0.0,216.29,471.61,0
