Month,Gross sales,Returns,Discounts & comps,Net sales,Taxes,Tips,Refunds by amount,Total sales,Afterpay,Card,Cash,Cash App,Other,Fees,Net total
January,"$39,296.24",-$69.25,-$176.43,"$39,050.56","$3,339.02",$972.88,-$97.69,"$43,264.77",$31.05,"$28,668.54","$8,413.47",$63.57,"$6,088.14",-$873.12,"$42,391.65"
February,"$38,034.82",-$99.15,-$308.50,"$37,627.17","$3,177.81",$955.22,-$19.40,"$41,740.80",$0.00,"$27,672.49","$8,837.76",$17.35,"$5,213.20",-$822.55,"$40,918.25"
March,"$45,723.07",-$188.35,-$306.53,"$45,228.19","$3,795.67","$1,198.83",-$5.80,"$50,266.89",$0.00,"$33,618.84","$10,293.88",$23.27,"$6,330.90","-$1,009.91","$49,256.98"
April,"$43,306.26",-$152.78,-$283.63,"$42,869.85","$3,592.44","$1,217.90",-$26.87,"$47,653.32",$0.00,"$32,015.58","$9,690.49",$0.00,"$5,897.25",-$957.20,"$46,696.12"
May,"$51,469.61",-$204.70,-$372.11,"$50,892.80","$4,236.23","$1,548.45",-$108.21,"$56,569.27",$0.00,"$38,568.08","$11,119.68",$0.00,"$6,881.51","-$1,134.81","$55,434.46"
June,"$45,977.25",-$136.45,-$298.13,"$45,542.67","$3,933.09","$1,473.78",-$4.44,"$51,045.10",$0.00,"$34,008.36","$11,201.12",$0.00,"$5,818.27",-$991.87,"$50,053.23"
July,"$46,753.68",-$658.86,-$436.90,"$45,657.92","$3,816.76","$1,180.03",-$6.12,"$50,648.59",$0.00,"$35,122.99","$10,665.08",$0.00,"$4,860.52","-$1,030.05","$49,618.54"
August,"$49,728.99",-$279.15,-$390.39,"$49,059.45","$4,148.85","$1,200.38",$0.00,"$54,408.68",$30.88,"$36,312.62","$12,582.64",$0.00,"$5,474.89","-$1,056.46","$53,352.22"
September,"$43,799.62",-$128.10,-$329.81,"$43,341.71","$3,683.94","$1,106.18",-$7.25,"$48,164.58",$0.00,"$31,995.74","$10,833.88",$67.98,"$5,266.98",-$929.42,"$47,235.16"
October,"$47,596.81",-$306.20,-$389.44,"$46,901.17","$3,949.30","$1,200.36",-$25.01,"$52,045.82",$0.00,"$34,548.81","$11,911.19",$47.91,"$5,498.25","-$1,018.46","$51,027.36"
November ,"$37,307.07",-$239.25,-$289.94,"$36,777.88","$3,168.17",$937.55,-$35.06,"$40,848.54",$0.00,"$26,362.71","$9,468.04",$0.00,"$4,997.79",-$762.39,"$40,086.15"
December,"$39,577.95",-$326.01,-$367.26,"$38,884.68","$3,312.53",$931.69,-$11.50,"$43,322.40",$0.00,"$26,730.51","$10,152.93",$111.17,"$6,327.79",-$792.69,"$42,529.71"
